semptom,poliklinik,açıklama
"Baş ağrısı, mide bulantısı",Nöroloji,Sürekli baş ağrısı veya mide bulantısı nörolojik sorunlara bağlı olabilir.
"Boğaz ağrısı, ateş",KBB / Enfeksiyon Hastalıkları,Viral veya bakteriyel enfeksiyon kaynaklı olabilir.
"Göğüs ağrısı, nefes darlığı",Kardiyoloji / Göğüs Hastalıkları,Kalp veya akciğer kaynaklı olabilir.
"Karın ağrısı, ishal",Dahiliye / Gastroenteroloji,Sindirim sistemi rahatsızlıklarında görülür.
"Sırt ağrısı, kas tutulması",Fizik Tedavi ve Rehabilitasyon,Kas-iskelet sistemi sorunlarıyla ilgilidir.
"Mide yanması, gaz",Gastroenteroloji,Mide asidi veya reflü kaynaklı olabilir.
"Ciltte kaşıntı, kızarıklık",Dermatoloji,Alerji veya deri enfeksiyonlarına bağlı olabilir.
"Gözde kızarma, yanma",Göz Hastalıkları,Göz enfeksiyonları veya alerjik reaksiyonlar görülebilir.
Diş ağrısı,Diş Hekimliği,Diş çürüğü veya diş eti enfeksiyonu olabilir.
"Kulak ağrısı, işitme azlığı",KBB,Orta kulak iltihabı veya tıkanıklık olabilir.
"Sık idrara çıkma, yanma",Üroloji,İdrar yolu enfeksiyonu veya mesane sorunları olabilir.
Adet düzensizliği,Kadın Doğum,Hormonal veya jinekolojik nedenler olabilir.
"Kilo kaybı, halsizlik",Endokrinoloji / Dahiliye,Tiroid veya metabolik rahatsızlık olabilir.
"Eklemlerde şişlik, ağrı",Romatoloji,Romatizmal hastalıklar kaynaklı olabilir.
Kalp çarpıntısı,Kardiyoloji,Ritim bozukluğu veya anksiyete belirtisi olabilir.
"Uyku bozukluğu, stres",Psikiyatri,Anksiyete veya depresyon kaynaklı olabilir.
"Nefes darlığı, öksürük",Göğüs Hastalıkları,Astım veya bronşit gibi solunum yolu hastalıkları olabilir.
"Burun tıkanıklığı, geniz akıntısı",KBB,Alerjik rinit veya sinüzit olabilir.
"Sıcak basması, terleme",Endokrinoloji / Kadın Doğum,Menopoz veya hormon dengesizliği belirtisi olabilir.
"Göz seğirmesi, baş dönmesi",Nöroloji,Yorgunluk veya sinir sistemi bozukluklarıyla ilgili olabilir.
"Yorgunluk, kansızlık",Dahiliye,Demir eksikliği veya vitamin yetersizliği olabilir.
"Döküntü, ateş",Enfeksiyon Hastalıkları / Dermatoloji,Viral enfeksiyon veya alerjik reaksiyon olabilir.
El titremesi,Nöroloji / Endokrinoloji,Parkinson veya tiroid bozukluklarıyla ilişkili olabilir.
"Sırt ağrısı, uyuşma",Ortopedi / Beyin Cerrahisi,Omurga sıkışması veya fıtık olabilir.
"Karın şişliği, iştahsızlık",Gastroenteroloji,Sindirim sistemi hastalıkları olabilir.
İdrarda kan,Üroloji,Böbrek taşı veya idrar yolu enfeksiyonu olabilir.
El ve ayakta morarma,Kardiyoloji,Dolaşım bozukluğu belirtisi olabilir.
"Dilde yanma, ağız kuruluğu",Dahiliye / Ağız ve Diş Sağlığı,Vitamin eksikliği veya enfeksiyon olabilir.
"Uyuşma, güçsüzlük",Nöroloji,Sinir sistemi kaynaklı olabilir.
Sık burun kanaması,KBB / Hematoloji,Burun damar hassasiyeti veya kan pıhtılaşma sorunu olabilir.
Şiddetli adet ağrısı,Kadın Doğum,Hormonal dengesizlik veya miyom belirtisi olabilir.
Gözde görme bulanıklığı,Göz Hastalıkları,Göz tansiyonu veya kırma kusuru olabilir.
"Ciltte mantar, döküntü",Dermatoloji,Cilt enfeksiyonlarına bağlı olabilir.
"Göğüs sıkışması, çabuk yorulma",Kardiyoloji,Kalp damar hastalıkları belirtisi olabilir.
"El uyuşması, boyun ağrısı",Fizik Tedavi / Nöroloji,Sinir sıkışması veya kas zorlanması olabilir.
Duygu durum değişimi,Psikiyatri,Depresyon veya bipolar bozukluk belirtisi olabilir.
"Tırnak kırılması, saç dökülmesi",Endokrinoloji / Dermatoloji,Vitamin eksikliği veya tiroid sorunu olabilir.
Ağız kokusu,Diş Hekimliği / Gastroenteroloji,Diş eti hastalığı veya mide sorunları olabilir.
Aşırı terleme,Endokrinoloji,Hormon dengesizliği veya tiroid sorunları olabilir.
"omuz ağrısı, gözde sulanma",Göz,"omuz ağrısı, gözde sulanma şikayetleri genellikle göz polikliniğinde değerlendirilir."
ellerde morarma,KBB,ellerde morarma şikayetleri genellikle kbb polikliniğinde değerlendirilir.
"ellerde soğukluk, ciltte kaşıntı",Cildiye,"ellerde soğukluk, ciltte kaşıntı şikayetleri genellikle cildiye polikliniğinde değerlendirilir."
"aşırı terleme, yorgunluk, kalp çarpıntısı",Dahiliye,"aşırı terleme, yorgunluk, kalp çarpıntısı şikayetleri genellikle dahiliye polikliniğinde değerlendirilir."
"nefes kesilmesi, kulakta ağrı, nefes almada zorluk",Göğüs Hastalıkları,"nefes kesilmesi, kulakta ağrı, nefes almada zorluk şikayetleri genellikle göğüs hastalıkları polikliniğinde değerlendirilir."
"bel ağrısı, ciltte kaşıntı",Genel Cerrahi,"bel ağrısı, ciltte kaşıntı şikayetleri genellikle genel cerrahi polikliniğinde değerlendirilir."
"kulakta ağrı, göz kızarıklığı",Üroloji,"kulakta ağrı, göz kızarıklığı şikayetleri genellikle üroloji polikliniğinde değerlendirilir."
konsantrasyon bozukluğu,Göz,konsantrasyon bozukluğu şikayetleri genellikle göz polikliniğinde değerlendirilir.
"kaygı hissi, halsizlik, idrar yanması",Kadın Doğum,"kaygı hissi, halsizlik, idrar yanması şikayetleri genellikle kadın doğum polikliniğinde değerlendirilir."
"ciltte kaşıntı, boğazda gıcık",Cildiye,"ciltte kaşıntı, boğazda gıcık şikayetleri genellikle cildiye polikliniğinde değerlendirilir."
"boğazda gıcık, karında sancı, boğazda yanma",Göz,"boğazda gıcık, karında sancı, boğazda yanma şikayetleri genellikle göz polikliniğinde değerlendirilir."
"nefes darlığı, uykusuzluk, karın şişliği",Göğüs Hastalıkları,"nefes darlığı, uykusuzluk, karın şişliği şikayetleri genellikle göğüs hastalıkları polikliniğinde değerlendirilir."
gözde sulanma,Psikiyatri,gözde sulanma şikayetleri genellikle psikiyatri polikliniğinde değerlendirilir.
uykuya dalamama,Kadın Doğum,uykuya dalamama şikayetleri genellikle kadın doğum polikliniğinde değerlendirilir.
"bel ağrısı, ciltte kaşıntı",KBB,"bel ağrısı, ciltte kaşıntı şikayetleri genellikle kbb polikliniğinde değerlendirilir."
"nefes darlığı, omuz ağrısı, eklem ağrısı",Dahiliye,"nefes darlığı, omuz ağrısı, eklem ağrısı şikayetleri genellikle dahiliye polikliniğinde değerlendirilir."
"yüzde kızarma, burun tıkanıklığı, ense ağrısı",Cildiye,"yüzde kızarma, burun tıkanıklığı, ense ağrısı şikayetleri genellikle cildiye polikliniğinde değerlendirilir."
"ellerde soğukluk, göz kuruluğu",Göz,"ellerde soğukluk, göz kuruluğu şikayetleri genellikle göz polikliniğinde değerlendirilir."
"kalp çarpıntısı, ishal",Enfeksiyon,"kalp çarpıntısı, ishal şikayetleri genellikle enfeksiyon polikliniğinde değerlendirilir."
"kalp çarpıntısı, baş dönmesi, kulak çınlaması",KBB,"kalp çarpıntısı, baş dönmesi, kulak çınlaması şikayetleri genellikle kbb polikliniğinde değerlendirilir."
"kabızlık, kalp çarpıntısı",KBB,"kabızlık, kalp çarpıntısı şikayetleri genellikle kbb polikliniğinde değerlendirilir."
"baş dönmesi, ishal",Fizik Tedavi,"baş dönmesi, ishal şikayetleri genellikle fizik tedavi polikliniğinde değerlendirilir."
kulakta ağrı,Dahiliye,kulakta ağrı şikayetleri genellikle dahiliye polikliniğinde değerlendirilir.
"omuz ağrısı, ishal, göğüs ağrısı",Fizik Tedavi,"omuz ağrısı, ishal, göğüs ağrısı şikayetleri genellikle fizik tedavi polikliniğinde değerlendirilir."
omuz ağrısı,Üroloji,omuz ağrısı şikayetleri genellikle üroloji polikliniğinde değerlendirilir.
"ishal, ellerde morarma",Ortopedi,"ishal, ellerde morarma şikayetleri genellikle ortopedi polikliniğinde değerlendirilir."
"kalp çarpıntısı, ciltte kaşıntı, nefes kesilmesi",Psikiyatri,"kalp çarpıntısı, ciltte kaşıntı, nefes kesilmesi şikayetleri genellikle psikiyatri polikliniğinde değerlendirilir."
"yorgunluk, başta basınç hissi, mide yanması",Ortopedi,"yorgunluk, başta basınç hissi, mide yanması şikayetleri genellikle ortopedi polikliniğinde değerlendirilir."
ishal,Endokrinoloji,ishal şikayetleri genellikle endokrinoloji polikliniğinde değerlendirilir.
göz kuruluğu,Kadın Doğum,göz kuruluğu şikayetleri genellikle kadın doğum polikliniğinde değerlendirilir.
"ellerde uyuşma, karın şişliği",Kadın Doğum,"ellerde uyuşma, karın şişliği şikayetleri genellikle kadın doğum polikliniğinde değerlendirilir."
"ciltte döküntü, yorgunluk, karın ağrısı",Endokrinoloji,"ciltte döküntü, yorgunluk, karın ağrısı şikayetleri genellikle endokrinoloji polikliniğinde değerlendirilir."
konsantrasyon bozukluğu,Üroloji,konsantrasyon bozukluğu şikayetleri genellikle üroloji polikliniğinde değerlendirilir.
"ellerde soğukluk, halsizlik, nefes kesilmesi",Dahiliye,"ellerde soğukluk, halsizlik, nefes kesilmesi şikayetleri genellikle dahiliye polikliniğinde değerlendirilir."
"karın ağrısı, hıçkırık",KBB,"karın ağrısı, hıçkırık şikayetleri genellikle kbb polikliniğinde değerlendirilir."
"karın ağrısı, kalp çarpıntısı",Kardiyoloji,"karın ağrısı, kalp çarpıntısı şikayetleri genellikle kardiyoloji polikliniğinde değerlendirilir."
"gözde sulanma, ayak şişmesi, yüzde kızarma",Dahiliye,"gözde sulanma, ayak şişmesi, yüzde kızarma şikayetleri genellikle dahiliye polikliniğinde değerlendirilir."
"kaygı hissi, eklem ağrısı, ellerde morarma",Göğüs Hastalıkları,"kaygı hissi, eklem ağrısı, ellerde morarma şikayetleri genellikle göğüs hastalıkları polikliniğinde değerlendirilir."
"göz kuruluğu, kabızlık, ellerde morarma",Göğüs Hastalıkları,"göz kuruluğu, kabızlık, ellerde morarma şikayetleri genellikle göğüs hastalıkları polikliniğinde değerlendirilir."
"ense ağrısı, el titremesi, ciltte döküntü",Kadın Doğum,"ense ağrısı, el titremesi, ciltte döküntü şikayetleri genellikle kadın doğum polikliniğinde değerlendirilir."
"eklem ağrısı, uykuya dalamama",Nöroloji,"eklem ağrısı, uykuya dalamama şikayetleri genellikle nöroloji polikliniğinde değerlendirilir."
"eklem ağrısı, boğazda gıcık",Endokrinoloji,"eklem ağrısı, boğazda gıcık şikayetleri genellikle endokrinoloji polikliniğinde değerlendirilir."
"yüzde kızarma, gözde sulanma, ateş",KBB,"yüzde kızarma, gözde sulanma, ateş şikayetleri genellikle kbb polikliniğinde değerlendirilir."
"bel ağrısı, yüzde kızarma",Fizik Tedavi,"bel ağrısı, yüzde kızarma şikayetleri genellikle fizik tedavi polikliniğinde değerlendirilir."
"nefes darlığı, ciltte kaşıntı",Kardiyoloji,"nefes darlığı, ciltte kaşıntı şikayetleri genellikle kardiyoloji polikliniğinde değerlendirilir."
"burun tıkanıklığı, göğüs ağrısı",Psikiyatri,"burun tıkanıklığı, göğüs ağrısı şikayetleri genellikle psikiyatri polikliniğinde değerlendirilir."
"nefes darlığı, konsantrasyon bozukluğu, el titremesi",Enfeksiyon,"nefes darlığı, konsantrasyon bozukluğu, el titremesi şikayetleri genellikle enfeksiyon polikliniğinde değerlendirilir."
ayak şişmesi,Psikiyatri,ayak şişmesi şikayetleri genellikle psikiyatri polikliniğinde değerlendirilir.
aşırı terleme,Üroloji,aşırı terleme şikayetleri genellikle üroloji polikliniğinde değerlendirilir.
omuz ağrısı,Genel Cerrahi,omuz ağrısı şikayetleri genellikle genel cerrahi polikliniğinde değerlendirilir.
"yorgunluk, nefes almada zorluk",Enfeksiyon,"yorgunluk, nefes almada zorluk şikayetleri genellikle enfeksiyon polikliniğinde değerlendirilir."
"idrar yanması, ellerde morarma",Psikiyatri,"idrar yanması, ellerde morarma şikayetleri genellikle psikiyatri polikliniğinde değerlendirilir."
eklem ağrısı,Fizik Tedavi,eklem ağrısı şikayetleri genellikle fizik tedavi polikliniğinde değerlendirilir.
nefes darlığı,Kadın Doğum,nefes darlığı şikayetleri genellikle kadın doğum polikliniğinde değerlendirilir.
göz kızarıklığı,Enfeksiyon,göz kızarıklığı şikayetleri genellikle enfeksiyon polikliniğinde değerlendirilir.
"karın ağrısı, gözde sulanma, karında sancı",KBB,"karın ağrısı, gözde sulanma, karında sancı şikayetleri genellikle kbb polikliniğinde değerlendirilir."
"uykusuzluk, kulakta ağrı",Göğüs Hastalıkları,"uykusuzluk, kulakta ağrı şikayetleri genellikle göğüs hastalıkları polikliniğinde değerlendirilir."
ateş,Psikiyatri,ateş şikayetleri genellikle psikiyatri polikliniğinde değerlendirilir.
"kabızlık, burun tıkanıklığı",Nöroloji,"kabızlık, burun tıkanıklığı şikayetleri genellikle nöroloji polikliniğinde değerlendirilir."
"karında sancı, yüzde kızarma, nefes darlığı",Dahiliye,"karında sancı, yüzde kızarma, nefes darlığı şikayetleri genellikle dahiliye polikliniğinde değerlendirilir."
"mide yanması, nefes darlığı",Enfeksiyon,"mide yanması, nefes darlığı şikayetleri genellikle enfeksiyon polikliniğinde değerlendirilir."
eklem ağrısı,Genel Cerrahi,eklem ağrısı şikayetleri genellikle genel cerrahi polikliniğinde değerlendirilir.
boğazda yanma,Kardiyoloji,boğazda yanma şikayetleri genellikle kardiyoloji polikliniğinde değerlendirilir.
idrar yanması,KBB,idrar yanması şikayetleri genellikle kbb polikliniğinde değerlendirilir.
"karında sancı, yüzde kızarma",Ortopedi,"karında sancı, yüzde kızarma şikayetleri genellikle ortopedi polikliniğinde değerlendirilir."
ishal,Genel Cerrahi,ishal şikayetleri genellikle genel cerrahi polikliniğinde değerlendirilir.
bacakta kramp,Endokrinoloji,bacakta kramp şikayetleri genellikle endokrinoloji polikliniğinde değerlendirilir.
"boğazda yanma, karın ağrısı, kulak çınlaması",Genel Cerrahi,"boğazda yanma, karın ağrısı, kulak çınlaması şikayetleri genellikle genel cerrahi polikliniğinde değerlendirilir."
bel ağrısı,Göz,bel ağrısı şikayetleri genellikle göz polikliniğinde değerlendirilir.
"idrar yanması, göğüs ağrısı, boğazda yanma",Kadın Doğum,"idrar yanması, göğüs ağrısı, boğazda yanma şikayetleri genellikle kadın doğum polikliniğinde değerlendirilir."
"eklem ağrısı, boğazda gıcık, göz kızarıklığı",Kardiyoloji,"eklem ağrısı, boğazda gıcık, göz kızarıklığı şikayetleri genellikle kardiyoloji polikliniğinde değerlendirilir."
omuz ağrısı,Dahiliye,omuz ağrısı şikayetleri genellikle dahiliye polikliniğinde değerlendirilir.
boğazda gıcık,Fizik Tedavi,boğazda gıcık şikayetleri genellikle fizik tedavi polikliniğinde değerlendirilir.
ense ağrısı,Enfeksiyon,ense ağrısı şikayetleri genellikle enfeksiyon polikliniğinde değerlendirilir.
"iştahsızlık, göz kuruluğu",Göğüs Hastalıkları,"iştahsızlık, göz kuruluğu şikayetleri genellikle göğüs hastalıkları polikliniğinde değerlendirilir."
"nefes almada zorluk, kas seğirmesi, baş dönmesi",KBB,"nefes almada zorluk, kas seğirmesi, baş dönmesi şikayetleri genellikle kbb polikliniğinde değerlendirilir."
nefes kesilmesi,Nöroloji,nefes kesilmesi şikayetleri genellikle nöroloji polikliniğinde değerlendirilir.
"kas seğirmesi, göğüs ağrısı, ciltte döküntü",Üroloji,"kas seğirmesi, göğüs ağrısı, ciltte döküntü şikayetleri genellikle üroloji polikliniğinde değerlendirilir."
"bel ağrısı, burun tıkanıklığı, ateş",Nöroloji,"bel ağrısı, burun tıkanıklığı, ateş şikayetleri genellikle nöroloji polikliniğinde değerlendirilir."
"baş dönmesi, aşırı terleme",Psikiyatri,"baş dönmesi, aşırı terleme şikayetleri genellikle psikiyatri polikliniğinde değerlendirilir."
"nefes almada zorluk, ishal",Kadın Doğum,"nefes almada zorluk, ishal şikayetleri genellikle kadın doğum polikliniğinde değerlendirilir."
yorgunluk,Kardiyoloji,yorgunluk şikayetleri genellikle kardiyoloji polikliniğinde değerlendirilir.
baş dönmesi,Dahiliye,baş dönmesi şikayetleri genellikle dahiliye polikliniğinde değerlendirilir.
nefes kesilmesi,Genel Cerrahi,nefes kesilmesi şikayetleri genellikle genel cerrahi polikliniğinde değerlendirilir.
ciltte kaşıntı,Kadın Doğum,ciltte kaşıntı şikayetleri genellikle kadın doğum polikliniğinde değerlendirilir.
"idrar yanması, yorgunluk, ellerde uyuşma",Endokrinoloji,"idrar yanması, yorgunluk, ellerde uyuşma şikayetleri genellikle endokrinoloji polikliniğinde değerlendirilir."
"mide yanması, ellerde morarma",KBB,"mide yanması, ellerde morarma şikayetleri genellikle kbb polikliniğinde değerlendirilir."
"halsizlik, idrar yanması",Göğüs Hastalıkları,"halsizlik, idrar yanması şikayetleri genellikle göğüs hastalıkları polikliniğinde değerlendirilir."
"göğüs ağrısı, yüzde kızarma, kas seğirmesi",Dahiliye,"göğüs ağrısı, yüzde kızarma, kas seğirmesi şikayetleri genellikle dahiliye polikliniğinde değerlendirilir."
"unutkanlık, sırt ağrısı, idrar yanması",Fizik Tedavi,"unutkanlık, sırt ağrısı, idrar yanması şikayetleri genellikle fizik tedavi polikliniğinde değerlendirilir."
"karın şişliği, omuz ağrısı, ellerde morarma",KBB,"karın şişliği, omuz ağrısı, ellerde morarma şikayetleri genellikle kbb polikliniğinde değerlendirilir."
"göğüs ağrısı, kulak çınlaması",Genel Cerrahi,"göğüs ağrısı, kulak çınlaması şikayetleri genellikle genel cerrahi polikliniğinde değerlendirilir."
"yüzde kızarma, ciltte döküntü",Göz,"yüzde kızarma, ciltte döküntü şikayetleri genellikle göz polikliniğinde değerlendirilir."
"karın şişliği, ciltte kaşıntı",Ortopedi,"karın şişliği, ciltte kaşıntı şikayetleri genellikle ortopedi polikliniğinde değerlendirilir."
"ense ağrısı, üşüme, gözde sulanma",Göğüs Hastalıkları,"ense ağrısı, üşüme, gözde sulanma şikayetleri genellikle göğüs hastalıkları polikliniğinde değerlendirilir."
"göz kuruluğu, ellerde soğukluk, idrar yanması",Fizik Tedavi,"göz kuruluğu, ellerde soğukluk, idrar yanması şikayetleri genellikle fizik tedavi polikliniğinde değerlendirilir."
"kulakta ağrı, eklem ağrısı",Dahiliye,"kulakta ağrı, eklem ağrısı şikayetleri genellikle dahiliye polikliniğinde değerlendirilir."
"ishal, mide yanması, karın şişliği",Genel Cerrahi,"ishal, mide yanması, karın şişliği şikayetleri genellikle genel cerrahi polikliniğinde değerlendirilir."
"halsizlik, unutkanlık, ense ağrısı",Göğüs Hastalıkları,"halsizlik, unutkanlık, ense ağrısı şikayetleri genellikle göğüs hastalıkları polikliniğinde değerlendirilir."
aşırı terleme,KBB,aşırı terleme şikayetleri genellikle kbb polikliniğinde değerlendirilir.
"halsizlik, bacakta kramp, ciltte kaşıntı",Nöroloji,"halsizlik, bacakta kramp, ciltte kaşıntı şikayetleri genellikle nöroloji polikliniğinde değerlendirilir."
"karın şişliği, nefes kesilmesi",Göz,"karın şişliği, nefes kesilmesi şikayetleri genellikle göz polikliniğinde değerlendirilir."
"göğüs ağrısı, kabızlık, hıçkırık",Dahiliye,"göğüs ağrısı, kabızlık, hıçkırık şikayetleri genellikle dahiliye polikliniğinde değerlendirilir."
"yüzde kızarma, eklem ağrısı",Cildiye,"yüzde kızarma, eklem ağrısı şikayetleri genellikle cildiye polikliniğinde değerlendirilir."
idrar yanması,KBB,idrar yanması şikayetleri genellikle kbb polikliniğinde değerlendirilir.
"burun tıkanıklığı, ciltte döküntü, ayak şişmesi",Ortopedi,"burun tıkanıklığı, ciltte döküntü, ayak şişmesi şikayetleri genellikle ortopedi polikliniğinde değerlendirilir."
ateş,Genel Cerrahi,ateş şikayetleri genellikle genel cerrahi polikliniğinde değerlendirilir.
halsizlik,Fizik Tedavi,halsizlik şikayetleri genellikle fizik tedavi polikliniğinde değerlendirilir.
"karında sancı, kulak çınlaması",KBB,"karında sancı, kulak çınlaması şikayetleri genellikle kbb polikliniğinde değerlendirilir."
"göz kızarıklığı, ellerde uyuşma, unutkanlık",Ortopedi,"göz kızarıklığı, ellerde uyuşma, unutkanlık şikayetleri genellikle ortopedi polikliniğinde değerlendirilir."
"ateş, omuz ağrısı",Genel Cerrahi,"ateş, omuz ağrısı şikayetleri genellikle genel cerrahi polikliniğinde değerlendirilir."
"boğazda yanma, eklem ağrısı",Fizik Tedavi,"boğazda yanma, eklem ağrısı şikayetleri genellikle fizik tedavi polikliniğinde değerlendirilir."
kabızlık,Ortopedi,kabızlık şikayetleri genellikle ortopedi polikliniğinde değerlendirilir.
"ciltte döküntü, kulak çınlaması, burun tıkanıklığı",Kadın Doğum,"ciltte döküntü, kulak çınlaması, burun tıkanıklığı şikayetleri genellikle kadın doğum polikliniğinde değerlendirilir."
"bel ağrısı, ellerde uyuşma",Dahiliye,"bel ağrısı, ellerde uyuşma şikayetleri genellikle dahiliye polikliniğinde değerlendirilir."
"uykuya dalamama, nefes almada zorluk, karında sancı",Psikiyatri,"uykuya dalamama, nefes almada zorluk, karında sancı şikayetleri genellikle psikiyatri polikliniğinde değerlendirilir."
"üşüme, halsizlik, ense ağrısı",KBB,"üşüme, halsizlik, ense ağrısı şikayetleri genellikle kbb polikliniğinde değerlendirilir."
"hıçkırık, aşırı terleme",Dahiliye,"hıçkırık, aşırı terleme şikayetleri genellikle dahiliye polikliniğinde değerlendirilir."
"göğüs ağrısı, ciltte kaşıntı, boğazda yanma",Ortopedi,"göğüs ağrısı, ciltte kaşıntı, boğazda yanma şikayetleri genellikle ortopedi polikliniğinde değerlendirilir."
göz kızarıklığı,KBB,göz kızarıklığı şikayetleri genellikle kbb polikliniğinde değerlendirilir.
"yüzde kızarma, kulak çınlaması, mide bulantısı",KBB,"yüzde kızarma, kulak çınlaması, mide bulantısı şikayetleri genellikle kbb polikliniğinde değerlendirilir."
aşırı terleme,Fizik Tedavi,aşırı terleme şikayetleri genellikle fizik tedavi polikliniğinde değerlendirilir.
el titremesi,Nöroloji,el titremesi şikayetleri genellikle nöroloji polikliniğinde değerlendirilir.
baş dönmesi,Göğüs Hastalıkları,baş dönmesi şikayetleri genellikle göğüs hastalıkları polikliniğinde değerlendirilir.
üşüme,Cildiye,üşüme şikayetleri genellikle cildiye polikliniğinde değerlendirilir.
idrar yanması,Fizik Tedavi,idrar yanması şikayetleri genellikle fizik tedavi polikliniğinde değerlendirilir.
uykusuzluk,KBB,uykusuzluk şikayetleri genellikle kbb polikliniğinde değerlendirilir.
kulakta ağrı,Göğüs Hastalıkları,kulakta ağrı şikayetleri genellikle göğüs hastalıkları polikliniğinde değerlendirilir.
"uykuya dalamama, uykusuzluk",Göğüs Hastalıkları,"uykuya dalamama, uykusuzluk şikayetleri genellikle göğüs hastalıkları polikliniğinde değerlendirilir."
aşırı terleme,Dahiliye,aşırı terleme şikayetleri genellikle dahiliye polikliniğinde değerlendirilir.
"ellerde morarma, nefes almada zorluk",Endokrinoloji,"ellerde morarma, nefes almada zorluk şikayetleri genellikle endokrinoloji polikliniğinde değerlendirilir."
"üşüme, uykuya dalamama, kulakta ağrı",Göz,"üşüme, uykuya dalamama, kulakta ağrı şikayetleri genellikle göz polikliniğinde değerlendirilir."
"yüzde kızarma, ateş",Kardiyoloji,"yüzde kızarma, ateş şikayetleri genellikle kardiyoloji polikliniğinde değerlendirilir."
ellerde morarma,Genel Cerrahi,ellerde morarma şikayetleri genellikle genel cerrahi polikliniğinde değerlendirilir.
ateş,Göz,ateş şikayetleri genellikle göz polikliniğinde değerlendirilir.
halsizlik,Cildiye,halsizlik şikayetleri genellikle cildiye polikliniğinde değerlendirilir.
yüzde kızarma,Cildiye,yüzde kızarma şikayetleri genellikle cildiye polikliniğinde değerlendirilir.
omuz ağrısı,Cildiye,omuz ağrısı şikayetleri genellikle cildiye polikliniğinde değerlendirilir.
ishal,Cildiye,ishal şikayetleri genellikle cildiye polikliniğinde değerlendirilir.
"ellerde uyuşma, gözde sulanma",KBB,"ellerde uyuşma, gözde sulanma şikayetleri genellikle kbb polikliniğinde değerlendirilir."
"ishal, ellerde uyuşma",Genel Cerrahi,"ishal, ellerde uyuşma şikayetleri genellikle genel cerrahi polikliniğinde değerlendirilir."
unutkanlık,Göz,unutkanlık şikayetleri genellikle göz polikliniğinde değerlendirilir.
kas seğirmesi,Enfeksiyon,kas seğirmesi şikayetleri genellikle enfeksiyon polikliniğinde değerlendirilir.
"kalp çarpıntısı, aşırı terleme",Nöroloji,"kalp çarpıntısı, aşırı terleme şikayetleri genellikle nöroloji polikliniğinde değerlendirilir."
uykuya dalamama,Cildiye,uykuya dalamama şikayetleri genellikle cildiye polikliniğinde değerlendirilir.
"bel ağrısı, karın şişliği",Göğüs Hastalıkları,"bel ağrısı, karın şişliği şikayetleri genellikle göğüs hastalıkları polikliniğinde değerlendirilir."
göz kuruluğu,KBB,göz kuruluğu şikayetleri genellikle kbb polikliniğinde değerlendirilir.
"idrar yanması, kalp çarpıntısı, ellerde morarma",Göğüs Hastalıkları,"idrar yanması, kalp çarpıntısı, ellerde morarma şikayetleri genellikle göğüs hastalıkları polikliniğinde değerlendirilir."
"idrar yanması, uykuya dalamama, üşüme",Kadın Doğum,"idrar yanması, uykuya dalamama, üşüme şikayetleri genellikle kadın doğum polikliniğinde değerlendirilir."
"ayak şişmesi, konsantrasyon bozukluğu, idrar yanması",Genel Cerrahi,"ayak şişmesi, konsantrasyon bozukluğu, idrar yanması şikayetleri genellikle genel cerrahi polikliniğinde değerlendirilir."
