semptom,poliklinik,açıklama
"ellerde morarma, ciltte döküntü, göğüs ağrısı",Endokrinoloji,"ellerde morarma, ciltte döküntü, göğüs ağrısı şikayetleri genellikle endokrinoloji polikliniğinde değerlendirilir."
ciltte döküntü,Göğüs Hastalıkları,ciltte döküntü şikayetleri genellikle göğüs hastalıkları polikliniğinde değerlendirilir.
"ellerde uyuşma, yüzde kızarma, hıçkırık",Enfeksiyon,"ellerde uyuşma, yüzde kızarma, hıçkırık şikayetleri genellikle enfeksiyon polikliniğinde değerlendirilir."
"konsantrasyon bozukluğu, ellerde soğukluk, ellerde uyuşma",Göz,"konsantrasyon bozukluğu, ellerde soğukluk, ellerde uyuşma şikayetleri genellikle göz polikliniğinde değerlendirilir."
"baş dönmesi, nefes kesilmesi, idrar yanması",Göz,"baş dönmesi, nefes kesilmesi, idrar yanması şikayetleri genellikle göz polikliniğinde değerlendirilir."
"ense ağrısı, ellerde soğukluk",Dahiliye,"ense ağrısı, ellerde soğukluk şikayetleri genellikle dahiliye polikliniğinde değerlendirilir."
hıçkırık,Göz,hıçkırık şikayetleri genellikle göz polikliniğinde değerlendirilir.
"ateş, boğazda gıcık",Endokrinoloji,"ateş, boğazda gıcık şikayetleri genellikle endokrinoloji polikliniğinde değerlendirilir."
"uykusuzluk, eklem ağrısı",Psikiyatri,"uykusuzluk, eklem ağrısı şikayetleri genellikle psikiyatri polikliniğinde değerlendirilir."
baş dönmesi,Kardiyoloji,baş dönmesi şikayetleri genellikle kardiyoloji polikliniğinde değerlendirilir.
"halsizlik, kulakta ağrı",Endokrinoloji,"halsizlik, kulakta ağrı şikayetleri genellikle endokrinoloji polikliniğinde değerlendirilir."
"kalp çarpıntısı, ciltte döküntü, uykusuzluk",Üroloji,"kalp çarpıntısı, ciltte döküntü, uykusuzluk şikayetleri genellikle üroloji polikliniğinde değerlendirilir."
ciltte döküntü,Ortopedi,ciltte döküntü şikayetleri genellikle ortopedi polikliniğinde değerlendirilir.
kaygı hissi,Fizik Tedavi,kaygı hissi şikayetleri genellikle fizik tedavi polikliniğinde değerlendirilir.
başta basınç hissi,Kadın Doğum,başta basınç hissi şikayetleri genellikle kadın doğum polikliniğinde değerlendirilir.
"kalp çarpıntısı, mide bulantısı",Kadın Doğum,"kalp çarpıntısı, mide bulantısı şikayetleri genellikle kadın doğum polikliniğinde değerlendirilir."
"ellerde soğukluk, göz kızarıklığı",Psikiyatri,"ellerde soğukluk, göz kızarıklığı şikayetleri genellikle psikiyatri polikliniğinde değerlendirilir."
"halsizlik, ense ağrısı",Ortopedi,"halsizlik, ense ağrısı şikayetleri genellikle ortopedi polikliniğinde değerlendirilir."
"el titremesi, baş dönmesi",Ortopedi,"el titremesi, baş dönmesi şikayetleri genellikle ortopedi polikliniğinde değerlendirilir."
"ellerde morarma, nefes almada zorluk",Psikiyatri,"ellerde morarma, nefes almada zorluk şikayetleri genellikle psikiyatri polikliniğinde değerlendirilir."
"ateş, sırt ağrısı, ellerde morarma",Nöroloji,"ateş, sırt ağrısı, ellerde morarma şikayetleri genellikle nöroloji polikliniğinde değerlendirilir."
"kaygı hissi, karın ağrısı",Göz,"kaygı hissi, karın ağrısı şikayetleri genellikle göz polikliniğinde değerlendirilir."
"karın ağrısı, kabızlık",Göz,"karın ağrısı, kabızlık şikayetleri genellikle göz polikliniğinde değerlendirilir."
"gözde sulanma, ellerde soğukluk",Dahiliye,"gözde sulanma, ellerde soğukluk şikayetleri genellikle dahiliye polikliniğinde değerlendirilir."
"unutkanlık, kalp çarpıntısı",Göz,"unutkanlık, kalp çarpıntısı şikayetleri genellikle göz polikliniğinde değerlendirilir."
"karın şişliği, kabızlık",Genel Cerrahi,"karın şişliği, kabızlık şikayetleri genellikle genel cerrahi polikliniğinde değerlendirilir."
gözde sulanma,Genel Cerrahi,gözde sulanma şikayetleri genellikle genel cerrahi polikliniğinde değerlendirilir.
"ense ağrısı, el titremesi, iştahsızlık",KBB,"ense ağrısı, el titremesi, iştahsızlık şikayetleri genellikle kbb polikliniğinde değerlendirilir."
"ayak şişmesi, kaygı hissi",Cildiye,"ayak şişmesi, kaygı hissi şikayetleri genellikle cildiye polikliniğinde değerlendirilir."
"mide bulantısı, nefes almada zorluk",Kardiyoloji,"mide bulantısı, nefes almada zorluk şikayetleri genellikle kardiyoloji polikliniğinde değerlendirilir."
el titremesi,Genel Cerrahi,el titremesi şikayetleri genellikle genel cerrahi polikliniğinde değerlendirilir.
"kulakta ağrı, kas seğirmesi, mide bulantısı",Ortopedi,"kulakta ağrı, kas seğirmesi, mide bulantısı şikayetleri genellikle ortopedi polikliniğinde değerlendirilir."
"nefes darlığı, kaygı hissi",Nöroloji,"nefes darlığı, kaygı hissi şikayetleri genellikle nöroloji polikliniğinde değerlendirilir."
eklem ağrısı,Üroloji,eklem ağrısı şikayetleri genellikle üroloji polikliniğinde değerlendirilir.
"kulakta ağrı, üşüme",Endokrinoloji,"kulakta ağrı, üşüme şikayetleri genellikle endokrinoloji polikliniğinde değerlendirilir."
"eklem ağrısı, karın ağrısı, başta basınç hissi",Cildiye,"eklem ağrısı, karın ağrısı, başta basınç hissi şikayetleri genellikle cildiye polikliniğinde değerlendirilir."
"ciltte kaşıntı, yüzde kızarma, bacakta kramp",Nöroloji,"ciltte kaşıntı, yüzde kızarma, bacakta kramp şikayetleri genellikle nöroloji polikliniğinde değerlendirilir."
nefes almada zorluk,Psikiyatri,nefes almada zorluk şikayetleri genellikle psikiyatri polikliniğinde değerlendirilir.
"kulak çınlaması, karın şişliği, konsantrasyon bozukluğu",Endokrinoloji,"kulak çınlaması, karın şişliği, konsantrasyon bozukluğu şikayetleri genellikle endokrinoloji polikliniğinde değerlendirilir."
aşırı terleme,Psikiyatri,aşırı terleme şikayetleri genellikle psikiyatri polikliniğinde değerlendirilir.
kalp çarpıntısı,Genel Cerrahi,kalp çarpıntısı şikayetleri genellikle genel cerrahi polikliniğinde değerlendirilir.
"karında sancı, eklem ağrısı, ayak şişmesi",Kardiyoloji,"karında sancı, eklem ağrısı, ayak şişmesi şikayetleri genellikle kardiyoloji polikliniğinde değerlendirilir."
"baş dönmesi, boğazda gıcık",Fizik Tedavi,"baş dönmesi, boğazda gıcık şikayetleri genellikle fizik tedavi polikliniğinde değerlendirilir."
"boğazda gıcık, halsizlik",Ortopedi,"boğazda gıcık, halsizlik şikayetleri genellikle ortopedi polikliniğinde değerlendirilir."
"kulakta ağrı, ense ağrısı",Cildiye,"kulakta ağrı, ense ağrısı şikayetleri genellikle cildiye polikliniğinde değerlendirilir."
"kas seğirmesi, nefes darlığı, unutkanlık",KBB,"kas seğirmesi, nefes darlığı, unutkanlık şikayetleri genellikle kbb polikliniğinde değerlendirilir."
"aşırı terleme, uykusuzluk, üşüme",Fizik Tedavi,"aşırı terleme, uykusuzluk, üşüme şikayetleri genellikle fizik tedavi polikliniğinde değerlendirilir."
baş dönmesi,KBB,baş dönmesi şikayetleri genellikle kbb polikliniğinde değerlendirilir.
"hıçkırık, göğüs ağrısı, ciltte döküntü",Göz,"hıçkırık, göğüs ağrısı, ciltte döküntü şikayetleri genellikle göz polikliniğinde değerlendirilir."
nefes kesilmesi,Fizik Tedavi,nefes kesilmesi şikayetleri genellikle fizik tedavi polikliniğinde değerlendirilir.
"karın ağrısı, eklem ağrısı",Göğüs Hastalıkları,"karın ağrısı, eklem ağrısı şikayetleri genellikle göğüs hastalıkları polikliniğinde değerlendirilir."
"ellerde uyuşma, eklem ağrısı",Göz,"ellerde uyuşma, eklem ağrısı şikayetleri genellikle göz polikliniğinde değerlendirilir."
"bacakta kramp, göğüs ağrısı",Göğüs Hastalıkları,"bacakta kramp, göğüs ağrısı şikayetleri genellikle göğüs hastalıkları polikliniğinde değerlendirilir."
"kas seğirmesi, ellerde morarma, bacakta kramp",Göğüs Hastalıkları,"kas seğirmesi, ellerde morarma, bacakta kramp şikayetleri genellikle göğüs hastalıkları polikliniğinde değerlendirilir."
"ishal, karında sancı, karın şişliği",Cildiye,"ishal, karında sancı, karın şişliği şikayetleri genellikle cildiye polikliniğinde değerlendirilir."
"baş dönmesi, idrar yanması, kulakta ağrı",Ortopedi,"baş dönmesi, idrar yanması, kulakta ağrı şikayetleri genellikle ortopedi polikliniğinde değerlendirilir."
"bacakta kramp, boğazda gıcık, ellerde morarma",Cildiye,"bacakta kramp, boğazda gıcık, ellerde morarma şikayetleri genellikle cildiye polikliniğinde değerlendirilir."
"kabızlık, idrar yanması",Endokrinoloji,"kabızlık, idrar yanması şikayetleri genellikle endokrinoloji polikliniğinde değerlendirilir."
"omuz ağrısı, kas seğirmesi",Psikiyatri,"omuz ağrısı, kas seğirmesi şikayetleri genellikle psikiyatri polikliniğinde değerlendirilir."
göz kızarıklığı,Göğüs Hastalıkları,göz kızarıklığı şikayetleri genellikle göğüs hastalıkları polikliniğinde değerlendirilir.
"ellerde soğukluk, karında sancı",Enfeksiyon,"ellerde soğukluk, karında sancı şikayetleri genellikle enfeksiyon polikliniğinde değerlendirilir."
"boğazda yanma, nefes darlığı, kulakta ağrı",Üroloji,"boğazda yanma, nefes darlığı, kulakta ağrı şikayetleri genellikle üroloji polikliniğinde değerlendirilir."
göz kızarıklığı,Enfeksiyon,göz kızarıklığı şikayetleri genellikle enfeksiyon polikliniğinde değerlendirilir.
"gözde sulanma, ayak şişmesi, mide yanması",Ortopedi,"gözde sulanma, ayak şişmesi, mide yanması şikayetleri genellikle ortopedi polikliniğinde değerlendirilir."
"aşırı terleme, sırt ağrısı",Dahiliye,"aşırı terleme, sırt ağrısı şikayetleri genellikle dahiliye polikliniğinde değerlendirilir."
"mide bulantısı, el titremesi",Psikiyatri,"mide bulantısı, el titremesi şikayetleri genellikle psikiyatri polikliniğinde değerlendirilir."
"kalp çarpıntısı, halsizlik",Nöroloji,"kalp çarpıntısı, halsizlik şikayetleri genellikle nöroloji polikliniğinde değerlendirilir."
"hıçkırık, ellerde soğukluk",Ortopedi,"hıçkırık, ellerde soğukluk şikayetleri genellikle ortopedi polikliniğinde değerlendirilir."
"göğüs ağrısı, kaygı hissi, halsizlik",Dahiliye,"göğüs ağrısı, kaygı hissi, halsizlik şikayetleri genellikle dahiliye polikliniğinde değerlendirilir."
gözde sulanma,Endokrinoloji,gözde sulanma şikayetleri genellikle endokrinoloji polikliniğinde değerlendirilir.
"ellerde soğukluk, karın ağrısı, bacakta kramp",KBB,"ellerde soğukluk, karın ağrısı, bacakta kramp şikayetleri genellikle kbb polikliniğinde değerlendirilir."
sırt ağrısı,Genel Cerrahi,sırt ağrısı şikayetleri genellikle genel cerrahi polikliniğinde değerlendirilir.
mide yanması,Cildiye,mide yanması şikayetleri genellikle cildiye polikliniğinde değerlendirilir.
"nefes darlığı, boğazda gıcık",Dahiliye,"nefes darlığı, boğazda gıcık şikayetleri genellikle dahiliye polikliniğinde değerlendirilir."
"kaygı hissi, kas seğirmesi, nefes almada zorluk",Genel Cerrahi,"kaygı hissi, kas seğirmesi, nefes almada zorluk şikayetleri genellikle genel cerrahi polikliniğinde değerlendirilir."
"idrar yanması, mide bulantısı, burun tıkanıklığı",Dahiliye,"idrar yanması, mide bulantısı, burun tıkanıklığı şikayetleri genellikle dahiliye polikliniğinde değerlendirilir."
"kaygı hissi, iştahsızlık, ellerde morarma",Üroloji,"kaygı hissi, iştahsızlık, ellerde morarma şikayetleri genellikle üroloji polikliniğinde değerlendirilir."
"karın ağrısı, kulakta ağrı",Ortopedi,"karın ağrısı, kulakta ağrı şikayetleri genellikle ortopedi polikliniğinde değerlendirilir."
gözde sulanma,Fizik Tedavi,gözde sulanma şikayetleri genellikle fizik tedavi polikliniğinde değerlendirilir.
ciltte kaşıntı,Genel Cerrahi,ciltte kaşıntı şikayetleri genellikle genel cerrahi polikliniğinde değerlendirilir.
"bel ağrısı, omuz ağrısı, bacakta kramp",KBB,"bel ağrısı, omuz ağrısı, bacakta kramp şikayetleri genellikle kbb polikliniğinde değerlendirilir."
"karında sancı, göğüs ağrısı, kulak çınlaması",Nöroloji,"karında sancı, göğüs ağrısı, kulak çınlaması şikayetleri genellikle nöroloji polikliniğinde değerlendirilir."
"göğüs ağrısı, bacakta kramp, göz kuruluğu",Psikiyatri,"göğüs ağrısı, bacakta kramp, göz kuruluğu şikayetleri genellikle psikiyatri polikliniğinde değerlendirilir."
"baş dönmesi, kas seğirmesi, sırt ağrısı",Nöroloji,"baş dönmesi, kas seğirmesi, sırt ağrısı şikayetleri genellikle nöroloji polikliniğinde değerlendirilir."
"ciltte kaşıntı, karın şişliği, eklem ağrısı",Genel Cerrahi,"ciltte kaşıntı, karın şişliği, eklem ağrısı şikayetleri genellikle genel cerrahi polikliniğinde değerlendirilir."
"göz kuruluğu, hıçkırık",Üroloji,"göz kuruluğu, hıçkırık şikayetleri genellikle üroloji polikliniğinde değerlendirilir."
"burun tıkanıklığı, ateş",Göğüs Hastalıkları,"burun tıkanıklığı, ateş şikayetleri genellikle göğüs hastalıkları polikliniğinde değerlendirilir."
"yorgunluk, nefes kesilmesi, karın şişliği",Psikiyatri,"yorgunluk, nefes kesilmesi, karın şişliği şikayetleri genellikle psikiyatri polikliniğinde değerlendirilir."
göğüs ağrısı,Psikiyatri,göğüs ağrısı şikayetleri genellikle psikiyatri polikliniğinde değerlendirilir.
"bacakta kramp, burun tıkanıklığı",Kadın Doğum,"bacakta kramp, burun tıkanıklığı şikayetleri genellikle kadın doğum polikliniğinde değerlendirilir."
"hıçkırık, ellerde morarma, nefes kesilmesi",Psikiyatri,"hıçkırık, ellerde morarma, nefes kesilmesi şikayetleri genellikle psikiyatri polikliniğinde değerlendirilir."
"karın ağrısı, iştahsızlık, boğazda gıcık",Dahiliye,"karın ağrısı, iştahsızlık, boğazda gıcık şikayetleri genellikle dahiliye polikliniğinde değerlendirilir."
"baş dönmesi, mide yanması, boğazda gıcık",KBB,"baş dönmesi, mide yanması, boğazda gıcık şikayetleri genellikle kbb polikliniğinde değerlendirilir."
omuz ağrısı,Üroloji,omuz ağrısı şikayetleri genellikle üroloji polikliniğinde değerlendirilir.
uykuya dalamama,Enfeksiyon,uykuya dalamama şikayetleri genellikle enfeksiyon polikliniğinde değerlendirilir.
yorgunluk,Göz,yorgunluk şikayetleri genellikle göz polikliniğinde değerlendirilir.
"kabızlık, ateş, idrar yanması",Göğüs Hastalıkları,"kabızlık, ateş, idrar yanması şikayetleri genellikle göğüs hastalıkları polikliniğinde değerlendirilir."
ciltte döküntü,Kardiyoloji,ciltte döküntü şikayetleri genellikle kardiyoloji polikliniğinde değerlendirilir.
boğazda gıcık,Ortopedi,boğazda gıcık şikayetleri genellikle ortopedi polikliniğinde değerlendirilir.
idrar yanması,Kardiyoloji,idrar yanması şikayetleri genellikle kardiyoloji polikliniğinde değerlendirilir.
"nefes kesilmesi, uykuya dalamama",Kardiyoloji,"nefes kesilmesi, uykuya dalamama şikayetleri genellikle kardiyoloji polikliniğinde değerlendirilir."
kabızlık,Göz,kabızlık şikayetleri genellikle göz polikliniğinde değerlendirilir.
kas seğirmesi,Üroloji,kas seğirmesi şikayetleri genellikle üroloji polikliniğinde değerlendirilir.
ense ağrısı,Ortopedi,ense ağrısı şikayetleri genellikle ortopedi polikliniğinde değerlendirilir.
"gözde sulanma, idrar yanması",Psikiyatri,"gözde sulanma, idrar yanması şikayetleri genellikle psikiyatri polikliniğinde değerlendirilir."
"unutkanlık, nefes darlığı, ciltte kaşıntı",Ortopedi,"unutkanlık, nefes darlığı, ciltte kaşıntı şikayetleri genellikle ortopedi polikliniğinde değerlendirilir."
"kulak çınlaması, omuz ağrısı",Kardiyoloji,"kulak çınlaması, omuz ağrısı şikayetleri genellikle kardiyoloji polikliniğinde değerlendirilir."
"göz kızarıklığı, nefes darlığı",Ortopedi,"göz kızarıklığı, nefes darlığı şikayetleri genellikle ortopedi polikliniğinde değerlendirilir."
"uykuya dalamama, unutkanlık",Enfeksiyon,"uykuya dalamama, unutkanlık şikayetleri genellikle enfeksiyon polikliniğinde değerlendirilir."
kulakta ağrı,Ortopedi,kulakta ağrı şikayetleri genellikle ortopedi polikliniğinde değerlendirilir.
"boğazda gıcık, göz kuruluğu",KBB,"boğazda gıcık, göz kuruluğu şikayetleri genellikle kbb polikliniğinde değerlendirilir."
"el titremesi, yorgunluk, ayak şişmesi",Kardiyoloji,"el titremesi, yorgunluk, ayak şişmesi şikayetleri genellikle kardiyoloji polikliniğinde değerlendirilir."
nefes almada zorluk,Fizik Tedavi,nefes almada zorluk şikayetleri genellikle fizik tedavi polikliniğinde değerlendirilir.
"yüzde kızarma, göz kuruluğu",Cildiye,"yüzde kızarma, göz kuruluğu şikayetleri genellikle cildiye polikliniğinde değerlendirilir."
"göz kızarıklığı, idrar yanması",Kardiyoloji,"göz kızarıklığı, idrar yanması şikayetleri genellikle kardiyoloji polikliniğinde değerlendirilir."
göz kızarıklığı,Üroloji,göz kızarıklığı şikayetleri genellikle üroloji polikliniğinde değerlendirilir.
"nefes kesilmesi, başta basınç hissi, idrar yanması",Kardiyoloji,"nefes kesilmesi, başta basınç hissi, idrar yanması şikayetleri genellikle kardiyoloji polikliniğinde değerlendirilir."
"uykusuzluk, yüzde kızarma",KBB,"uykusuzluk, yüzde kızarma şikayetleri genellikle kbb polikliniğinde değerlendirilir."
boğazda yanma,KBB,boğazda yanma şikayetleri genellikle kbb polikliniğinde değerlendirilir.
yorgunluk,Ortopedi,yorgunluk şikayetleri genellikle ortopedi polikliniğinde değerlendirilir.
karın ağrısı,Genel Cerrahi,karın ağrısı şikayetleri genellikle genel cerrahi polikliniğinde değerlendirilir.
"konsantrasyon bozukluğu, karın ağrısı, omuz ağrısı",Psikiyatri,"konsantrasyon bozukluğu, karın ağrısı, omuz ağrısı şikayetleri genellikle psikiyatri polikliniğinde değerlendirilir."
"kulakta ağrı, bel ağrısı",Psikiyatri,"kulakta ağrı, bel ağrısı şikayetleri genellikle psikiyatri polikliniğinde değerlendirilir."
"uykuya dalamama, ciltte döküntü, hıçkırık",KBB,"uykuya dalamama, ciltte döküntü, hıçkırık şikayetleri genellikle kbb polikliniğinde değerlendirilir."
"ellerde uyuşma, halsizlik, karın ağrısı",KBB,"ellerde uyuşma, halsizlik, karın ağrısı şikayetleri genellikle kbb polikliniğinde değerlendirilir."
iştahsızlık,Ortopedi,iştahsızlık şikayetleri genellikle ortopedi polikliniğinde değerlendirilir.
"göz kızarıklığı, uykusuzluk, ense ağrısı",Dahiliye,"göz kızarıklığı, uykusuzluk, ense ağrısı şikayetleri genellikle dahiliye polikliniğinde değerlendirilir."
"kaygı hissi, karın ağrısı",Kadın Doğum,"kaygı hissi, karın ağrısı şikayetleri genellikle kadın doğum polikliniğinde değerlendirilir."
"eklem ağrısı, ayak şişmesi, mide yanması",Kardiyoloji,"eklem ağrısı, ayak şişmesi, mide yanması şikayetleri genellikle kardiyoloji polikliniğinde değerlendirilir."
burun tıkanıklığı,Endokrinoloji,burun tıkanıklığı şikayetleri genellikle endokrinoloji polikliniğinde değerlendirilir.
uykusuzluk,Üroloji,uykusuzluk şikayetleri genellikle üroloji polikliniğinde değerlendirilir.
uykusuzluk,Enfeksiyon,uykusuzluk şikayetleri genellikle enfeksiyon polikliniğinde değerlendirilir.
"kalp çarpıntısı, boğazda yanma",Cildiye,"kalp çarpıntısı, boğazda yanma şikayetleri genellikle cildiye polikliniğinde değerlendirilir."
"kulakta ağrı, uykuya dalamama",Kardiyoloji,"kulakta ağrı, uykuya dalamama şikayetleri genellikle kardiyoloji polikliniğinde değerlendirilir."
karın şişliği,Üroloji,karın şişliği şikayetleri genellikle üroloji polikliniğinde değerlendirilir.
"mide bulantısı, hıçkırık, eklem ağrısı",Endokrinoloji,"mide bulantısı, hıçkırık, eklem ağrısı şikayetleri genellikle endokrinoloji polikliniğinde değerlendirilir."
bacakta kramp,Nöroloji,bacakta kramp şikayetleri genellikle nöroloji polikliniğinde değerlendirilir.
"kabızlık, yorgunluk",Üroloji,"kabızlık, yorgunluk şikayetleri genellikle üroloji polikliniğinde değerlendirilir."
"kas seğirmesi, hıçkırık, el titremesi",Psikiyatri,"kas seğirmesi, hıçkırık, el titremesi şikayetleri genellikle psikiyatri polikliniğinde değerlendirilir."
nefes almada zorluk,Genel Cerrahi,nefes almada zorluk şikayetleri genellikle genel cerrahi polikliniğinde değerlendirilir.
"göz kuruluğu, ellerde soğukluk",KBB,"göz kuruluğu, ellerde soğukluk şikayetleri genellikle kbb polikliniğinde değerlendirilir."
"göz kızarıklığı, boğazda gıcık",Psikiyatri,"göz kızarıklığı, boğazda gıcık şikayetleri genellikle psikiyatri polikliniğinde değerlendirilir."
"yorgunluk, burun tıkanıklığı, göz kızarıklığı",Kardiyoloji,"yorgunluk, burun tıkanıklığı, göz kızarıklığı şikayetleri genellikle kardiyoloji polikliniğinde değerlendirilir."
bel ağrısı,Enfeksiyon,bel ağrısı şikayetleri genellikle enfeksiyon polikliniğinde değerlendirilir.
"ense ağrısı, eklem ağrısı, uykuya dalamama",Göğüs Hastalıkları,"ense ağrısı, eklem ağrısı, uykuya dalamama şikayetleri genellikle göğüs hastalıkları polikliniğinde değerlendirilir."
"karında sancı, bel ağrısı, ciltte kaşıntı",Cildiye,"karında sancı, bel ağrısı, ciltte kaşıntı şikayetleri genellikle cildiye polikliniğinde değerlendirilir."
"gözde sulanma, boğazda gıcık",Nöroloji,"gözde sulanma, boğazda gıcık şikayetleri genellikle nöroloji polikliniğinde değerlendirilir."
"göğüs ağrısı, ciltte döküntü, mide yanması",Kadın Doğum,"göğüs ağrısı, ciltte döküntü, mide yanması şikayetleri genellikle kadın doğum polikliniğinde değerlendirilir."
"göz kızarıklığı, el titremesi, ense ağrısı",Üroloji,"göz kızarıklığı, el titremesi, ense ağrısı şikayetleri genellikle üroloji polikliniğinde değerlendirilir."
"mide yanması, halsizlik",KBB,"mide yanması, halsizlik şikayetleri genellikle kbb polikliniğinde değerlendirilir."
nefes almada zorluk,Nöroloji,nefes almada zorluk şikayetleri genellikle nöroloji polikliniğinde değerlendirilir.
karında sancı,Ortopedi,karında sancı şikayetleri genellikle ortopedi polikliniğinde değerlendirilir.
mide bulantısı,Genel Cerrahi,mide bulantısı şikayetleri genellikle genel cerrahi polikliniğinde değerlendirilir.
"yorgunluk, nefes darlığı",Cildiye,"yorgunluk, nefes darlığı şikayetleri genellikle cildiye polikliniğinde değerlendirilir."
yüzde kızarma,Cildiye,yüzde kızarma şikayetleri genellikle cildiye polikliniğinde değerlendirilir.
"nefes darlığı, kulak çınlaması",Psikiyatri,"nefes darlığı, kulak çınlaması şikayetleri genellikle psikiyatri polikliniğinde değerlendirilir."
uykuya dalamama,Kadın Doğum,uykuya dalamama şikayetleri genellikle kadın doğum polikliniğinde değerlendirilir.
"el titremesi, uykusuzluk",Göz,"el titremesi, uykusuzluk şikayetleri genellikle göz polikliniğinde değerlendirilir."
"kulak çınlaması, idrar yanması, iştahsızlık",Endokrinoloji,"kulak çınlaması, idrar yanması, iştahsızlık şikayetleri genellikle endokrinoloji polikliniğinde değerlendirilir."
"ense ağrısı, kas seğirmesi, uykusuzluk",Göz,"ense ağrısı, kas seğirmesi, uykusuzluk şikayetleri genellikle göz polikliniğinde değerlendirilir."
"el titremesi, unutkanlık",Endokrinoloji,"el titremesi, unutkanlık şikayetleri genellikle endokrinoloji polikliniğinde değerlendirilir."
göz kızarıklığı,Kardiyoloji,göz kızarıklığı şikayetleri genellikle kardiyoloji polikliniğinde değerlendirilir.
"ense ağrısı, eklem ağrısı",Cildiye,"ense ağrısı, eklem ağrısı şikayetleri genellikle cildiye polikliniğinde değerlendirilir."
"ateş, yorgunluk, ellerde morarma",Nöroloji,"ateş, yorgunluk, ellerde morarma şikayetleri genellikle nöroloji polikliniğinde değerlendirilir."
"mide bulantısı, ciltte döküntü, başta basınç hissi",Fizik Tedavi,"mide bulantısı, ciltte döküntü, başta basınç hissi şikayetleri genellikle fizik tedavi polikliniğinde değerlendirilir."
konsantrasyon bozukluğu,Cildiye,konsantrasyon bozukluğu şikayetleri genellikle cildiye polikliniğinde değerlendirilir.
"ense ağrısı, halsizlik, boğazda gıcık",Üroloji,"ense ağrısı, halsizlik, boğazda gıcık şikayetleri genellikle üroloji polikliniğinde değerlendirilir."
yorgunluk,KBB,yorgunluk şikayetleri genellikle kbb polikliniğinde değerlendirilir.
"omuz ağrısı, el titremesi, konsantrasyon bozukluğu",Kadın Doğum,"omuz ağrısı, el titremesi, konsantrasyon bozukluğu şikayetleri genellikle kadın doğum polikliniğinde değerlendirilir."
kulak çınlaması,Nöroloji,kulak çınlaması şikayetleri genellikle nöroloji polikliniğinde değerlendirilir.
"hıçkırık, boğazda gıcık, mide bulantısı",Psikiyatri,"hıçkırık, boğazda gıcık, mide bulantısı şikayetleri genellikle psikiyatri polikliniğinde değerlendirilir."
göğüs ağrısı,Kardiyoloji,göğüs ağrısı şikayetleri genellikle kardiyoloji polikliniğinde değerlendirilir.
"ayak şişmesi, karın şişliği",Psikiyatri,"ayak şişmesi, karın şişliği şikayetleri genellikle psikiyatri polikliniğinde değerlendirilir."
"aşırı terleme, ayak şişmesi",Nöroloji,"aşırı terleme, ayak şişmesi şikayetleri genellikle nöroloji polikliniğinde değerlendirilir."
