semptom,poliklinik,açıklama
mide bulantısı,Göz,mide bulantısı şikayetleri genellikle göz polikliniğinde değerlendirilir.
hıçkırık,Psikiyatri,hıçkırık şikayetleri genellikle psikiyatri polikliniğinde değerlendirilir.
"ellerde morarma, nefes kesilmesi",Üroloji,"ellerde morarma, nefes kesilmesi şikayetleri genellikle üroloji polikliniğinde değerlendirilir."
"hıçkırık, mide bulantısı, ciltte döküntü",Cildiye,"hıçkırık, mide bulantısı, ciltte döküntü şikayetleri genellikle cildiye polikliniğinde değerlendirilir."
burun tıkanıklığı,Ortopedi,burun tıkanıklığı şikayetleri genellikle ortopedi polikliniğinde değerlendirilir.
"nefes darlığı, kabızlık, gözde sulanma",Psikiyatri,"nefes darlığı, kabızlık, gözde sulanma şikayetleri genellikle psikiyatri polikliniğinde değerlendirilir."
"ellerde uyuşma, ateş, sırt ağrısı",Cildiye,"ellerde uyuşma, ateş, sırt ağrısı şikayetleri genellikle cildiye polikliniğinde değerlendirilir."
karında sancı,Nöroloji,karında sancı şikayetleri genellikle nöroloji polikliniğinde değerlendirilir.
nefes kesilmesi,Göz,nefes kesilmesi şikayetleri genellikle göz polikliniğinde değerlendirilir.
"unutkanlık, eklem ağrısı",Kadın Doğum,"unutkanlık, eklem ağrısı şikayetleri genellikle kadın doğum polikliniğinde değerlendirilir."
"konsantrasyon bozukluğu, mide bulantısı, başta basınç hissi",Üroloji,"konsantrasyon bozukluğu, mide bulantısı, başta basınç hissi şikayetleri genellikle üroloji polikliniğinde değerlendirilir."
"bel ağrısı, kalp çarpıntısı",Endokrinoloji,"bel ağrısı, kalp çarpıntısı şikayetleri genellikle endokrinoloji polikliniğinde değerlendirilir."
uykusuzluk,Fizik Tedavi,uykusuzluk şikayetleri genellikle fizik tedavi polikliniğinde değerlendirilir.
kalp çarpıntısı,Ortopedi,kalp çarpıntısı şikayetleri genellikle ortopedi polikliniğinde değerlendirilir.
"mide bulantısı, hıçkırık",Kadın Doğum,"mide bulantısı, hıçkırık şikayetleri genellikle kadın doğum polikliniğinde değerlendirilir."
ateş,KBB,ateş şikayetleri genellikle kbb polikliniğinde değerlendirilir.
"iştahsızlık, ciltte kaşıntı, nefes darlığı",Cildiye,"iştahsızlık, ciltte kaşıntı, nefes darlığı şikayetleri genellikle cildiye polikliniğinde değerlendirilir."
ense ağrısı,Enfeksiyon,ense ağrısı şikayetleri genellikle enfeksiyon polikliniğinde değerlendirilir.
"kulakta ağrı, kalp çarpıntısı",Endokrinoloji,"kulakta ağrı, kalp çarpıntısı şikayetleri genellikle endokrinoloji polikliniğinde değerlendirilir."
"ishal, baş dönmesi, bacakta kramp",Dahiliye,"ishal, baş dönmesi, bacakta kramp şikayetleri genellikle dahiliye polikliniğinde değerlendirilir."
"ense ağrısı, idrar yanması, boğazda yanma",Endokrinoloji,"ense ağrısı, idrar yanması, boğazda yanma şikayetleri genellikle endokrinoloji polikliniğinde değerlendirilir."
"eklem ağrısı, göz kuruluğu",KBB,"eklem ağrısı, göz kuruluğu şikayetleri genellikle kbb polikliniğinde değerlendirilir."
"mide yanması, gözde sulanma, ciltte döküntü",Cildiye,"mide yanması, gözde sulanma, ciltte döküntü şikayetleri genellikle cildiye polikliniğinde değerlendirilir."
ciltte döküntü,Göz,ciltte döküntü şikayetleri genellikle göz polikliniğinde değerlendirilir.
"ellerde soğukluk, halsizlik",Üroloji,"ellerde soğukluk, halsizlik şikayetleri genellikle üroloji polikliniğinde değerlendirilir."
"kabızlık, ellerde morarma",Üroloji,"kabızlık, ellerde morarma şikayetleri genellikle üroloji polikliniğinde değerlendirilir."
"el titremesi, yüzde kızarma",Genel Cerrahi,"el titremesi, yüzde kızarma şikayetleri genellikle genel cerrahi polikliniğinde değerlendirilir."
ellerde morarma,Dahiliye,ellerde morarma şikayetleri genellikle dahiliye polikliniğinde değerlendirilir.
"baş dönmesi, kalp çarpıntısı, mide bulantısı",Cildiye,"baş dönmesi, kalp çarpıntısı, mide bulantısı şikayetleri genellikle cildiye polikliniğinde değerlendirilir."
"boğazda gıcık, kas seğirmesi, göz kuruluğu",Göz,"boğazda gıcık, kas seğirmesi, göz kuruluğu şikayetleri genellikle göz polikliniğinde değerlendirilir."
göğüs ağrısı,Cildiye,göğüs ağrısı şikayetleri genellikle cildiye polikliniğinde değerlendirilir.
"ciltte kaşıntı, karın ağrısı",Üroloji,"ciltte kaşıntı, karın ağrısı şikayetleri genellikle üroloji polikliniğinde değerlendirilir."
mide yanması,Göğüs Hastalıkları,mide yanması şikayetleri genellikle göğüs hastalıkları polikliniğinde değerlendirilir.
kalp çarpıntısı,Endokrinoloji,kalp çarpıntısı şikayetleri genellikle endokrinoloji polikliniğinde değerlendirilir.
"göğüs ağrısı, üşüme, göz kuruluğu",Cildiye,"göğüs ağrısı, üşüme, göz kuruluğu şikayetleri genellikle cildiye polikliniğinde değerlendirilir."
"yorgunluk, nefes darlığı",Fizik Tedavi,"yorgunluk, nefes darlığı şikayetleri genellikle fizik tedavi polikliniğinde değerlendirilir."
"yorgunluk, sırt ağrısı, aşırı terleme",Genel Cerrahi,"yorgunluk, sırt ağrısı, aşırı terleme şikayetleri genellikle genel cerrahi polikliniğinde değerlendirilir."
"karın ağrısı, üşüme",Dahiliye,"karın ağrısı, üşüme şikayetleri genellikle dahiliye polikliniğinde değerlendirilir."
"aşırı terleme, hıçkırık",Cildiye,"aşırı terleme, hıçkırık şikayetleri genellikle cildiye polikliniğinde değerlendirilir."
"karın şişliği, omuz ağrısı",Endokrinoloji,"karın şişliği, omuz ağrısı şikayetleri genellikle endokrinoloji polikliniğinde değerlendirilir."
"göz kızarıklığı, hıçkırık, ayak şişmesi",Ortopedi,"göz kızarıklığı, hıçkırık, ayak şişmesi şikayetleri genellikle ortopedi polikliniğinde değerlendirilir."
kalp çarpıntısı,Fizik Tedavi,kalp çarpıntısı şikayetleri genellikle fizik tedavi polikliniğinde değerlendirilir.
konsantrasyon bozukluğu,Endokrinoloji,konsantrasyon bozukluğu şikayetleri genellikle endokrinoloji polikliniğinde değerlendirilir.
"kabızlık, bel ağrısı, nefes kesilmesi",Göz,"kabızlık, bel ağrısı, nefes kesilmesi şikayetleri genellikle göz polikliniğinde değerlendirilir."
göz kızarıklığı,Enfeksiyon,göz kızarıklığı şikayetleri genellikle enfeksiyon polikliniğinde değerlendirilir.
"yorgunluk, kalp çarpıntısı",Göğüs Hastalıkları,"yorgunluk, kalp çarpıntısı şikayetleri genellikle göğüs hastalıkları polikliniğinde değerlendirilir."
"boğazda yanma, mide yanması, el titremesi",Genel Cerrahi,"boğazda yanma, mide yanması, el titremesi şikayetleri genellikle genel cerrahi polikliniğinde değerlendirilir."
"göz kuruluğu, ciltte kaşıntı, konsantrasyon bozukluğu",Kadın Doğum,"göz kuruluğu, ciltte kaşıntı, konsantrasyon bozukluğu şikayetleri genellikle kadın doğum polikliniğinde değerlendirilir."
nefes kesilmesi,Cildiye,nefes kesilmesi şikayetleri genellikle cildiye polikliniğinde değerlendirilir.
"uykusuzluk, kas seğirmesi, ishal",Kardiyoloji,"uykusuzluk, kas seğirmesi, ishal şikayetleri genellikle kardiyoloji polikliniğinde değerlendirilir."
karında sancı,Kadın Doğum,karında sancı şikayetleri genellikle kadın doğum polikliniğinde değerlendirilir.
"kulakta ağrı, göz kuruluğu",Göğüs Hastalıkları,"kulakta ağrı, göz kuruluğu şikayetleri genellikle göğüs hastalıkları polikliniğinde değerlendirilir."
"ellerde morarma, üşüme",Ortopedi,"ellerde morarma, üşüme şikayetleri genellikle ortopedi polikliniğinde değerlendirilir."
"ellerde soğukluk, aşırı terleme",Enfeksiyon,"ellerde soğukluk, aşırı terleme şikayetleri genellikle enfeksiyon polikliniğinde değerlendirilir."
"ciltte kaşıntı, boğazda gıcık",Kardiyoloji,"ciltte kaşıntı, boğazda gıcık şikayetleri genellikle kardiyoloji polikliniğinde değerlendirilir."
"aşırı terleme, uykusuzluk, üşüme",Göz,"aşırı terleme, uykusuzluk, üşüme şikayetleri genellikle göz polikliniğinde değerlendirilir."
"kabızlık, kalp çarpıntısı, nefes kesilmesi",Üroloji,"kabızlık, kalp çarpıntısı, nefes kesilmesi şikayetleri genellikle üroloji polikliniğinde değerlendirilir."
"uykuya dalamama, kabızlık, iştahsızlık",Ortopedi,"uykuya dalamama, kabızlık, iştahsızlık şikayetleri genellikle ortopedi polikliniğinde değerlendirilir."
uykuya dalamama,Ortopedi,uykuya dalamama şikayetleri genellikle ortopedi polikliniğinde değerlendirilir.
"uykuya dalamama, ishal",Dahiliye,"uykuya dalamama, ishal şikayetleri genellikle dahiliye polikliniğinde değerlendirilir."
"üşüme, boğazda gıcık",Nöroloji,"üşüme, boğazda gıcık şikayetleri genellikle nöroloji polikliniğinde değerlendirilir."
burun tıkanıklığı,Ortopedi,burun tıkanıklığı şikayetleri genellikle ortopedi polikliniğinde değerlendirilir.
"baş dönmesi, mide yanması",Göz,"baş dönmesi, mide yanması şikayetleri genellikle göz polikliniğinde değerlendirilir."
"hıçkırık, halsizlik, ciltte döküntü",Göğüs Hastalıkları,"hıçkırık, halsizlik, ciltte döküntü şikayetleri genellikle göğüs hastalıkları polikliniğinde değerlendirilir."
iştahsızlık,Dahiliye,iştahsızlık şikayetleri genellikle dahiliye polikliniğinde değerlendirilir.
kulakta ağrı,Cildiye,kulakta ağrı şikayetleri genellikle cildiye polikliniğinde değerlendirilir.
"ateş, başta basınç hissi",KBB,"ateş, başta basınç hissi şikayetleri genellikle kbb polikliniğinde değerlendirilir."
el titremesi,Endokrinoloji,el titremesi şikayetleri genellikle endokrinoloji polikliniğinde değerlendirilir.
bacakta kramp,Kardiyoloji,bacakta kramp şikayetleri genellikle kardiyoloji polikliniğinde değerlendirilir.
karında sancı,Göz,karında sancı şikayetleri genellikle göz polikliniğinde değerlendirilir.
"boğazda gıcık, boğazda yanma",Ortopedi,"boğazda gıcık, boğazda yanma şikayetleri genellikle ortopedi polikliniğinde değerlendirilir."
"karın ağrısı, nefes kesilmesi, ayak şişmesi",Psikiyatri,"karın ağrısı, nefes kesilmesi, ayak şişmesi şikayetleri genellikle psikiyatri polikliniğinde değerlendirilir."
"ellerde morarma, nefes almada zorluk, idrar yanması",Fizik Tedavi,"ellerde morarma, nefes almada zorluk, idrar yanması şikayetleri genellikle fizik tedavi polikliniğinde değerlendirilir."
"kabızlık, karında sancı, kalp çarpıntısı",Üroloji,"kabızlık, karında sancı, kalp çarpıntısı şikayetleri genellikle üroloji polikliniğinde değerlendirilir."
"kalp çarpıntısı, göğüs ağrısı",Göz,"kalp çarpıntısı, göğüs ağrısı şikayetleri genellikle göz polikliniğinde değerlendirilir."
iştahsızlık,Fizik Tedavi,iştahsızlık şikayetleri genellikle fizik tedavi polikliniğinde değerlendirilir.
"karın ağrısı, konsantrasyon bozukluğu, bacakta kramp",Cildiye,"karın ağrısı, konsantrasyon bozukluğu, bacakta kramp şikayetleri genellikle cildiye polikliniğinde değerlendirilir."
omuz ağrısı,Üroloji,omuz ağrısı şikayetleri genellikle üroloji polikliniğinde değerlendirilir.
"omuz ağrısı, göğüs ağrısı",Kardiyoloji,"omuz ağrısı, göğüs ağrısı şikayetleri genellikle kardiyoloji polikliniğinde değerlendirilir."
kas seğirmesi,Kardiyoloji,kas seğirmesi şikayetleri genellikle kardiyoloji polikliniğinde değerlendirilir.
"nefes almada zorluk, unutkanlık",Enfeksiyon,"nefes almada zorluk, unutkanlık şikayetleri genellikle enfeksiyon polikliniğinde değerlendirilir."
göz kuruluğu,Kardiyoloji,göz kuruluğu şikayetleri genellikle kardiyoloji polikliniğinde değerlendirilir.
"boğazda yanma, omuz ağrısı",Dahiliye,"boğazda yanma, omuz ağrısı şikayetleri genellikle dahiliye polikliniğinde değerlendirilir."
kas seğirmesi,Göz,kas seğirmesi şikayetleri genellikle göz polikliniğinde değerlendirilir.
"burun tıkanıklığı, boğazda gıcık, iştahsızlık",Göz,"burun tıkanıklığı, boğazda gıcık, iştahsızlık şikayetleri genellikle göz polikliniğinde değerlendirilir."
ayak şişmesi,KBB,ayak şişmesi şikayetleri genellikle kbb polikliniğinde değerlendirilir.
"gözde sulanma, ellerde morarma, bacakta kramp",Göğüs Hastalıkları,"gözde sulanma, ellerde morarma, bacakta kramp şikayetleri genellikle göğüs hastalıkları polikliniğinde değerlendirilir."
"kulak çınlaması, ciltte kaşıntı, uykuya dalamama",Fizik Tedavi,"kulak çınlaması, ciltte kaşıntı, uykuya dalamama şikayetleri genellikle fizik tedavi polikliniğinde değerlendirilir."
"uykuya dalamama, kulak çınlaması, eklem ağrısı",Dahiliye,"uykuya dalamama, kulak çınlaması, eklem ağrısı şikayetleri genellikle dahiliye polikliniğinde değerlendirilir."
"ellerde soğukluk, eklem ağrısı, sırt ağrısı",Psikiyatri,"ellerde soğukluk, eklem ağrısı, sırt ağrısı şikayetleri genellikle psikiyatri polikliniğinde değerlendirilir."
ense ağrısı,Ortopedi,ense ağrısı şikayetleri genellikle ortopedi polikliniğinde değerlendirilir.
"göz kuruluğu, aşırı terleme",Göz,"göz kuruluğu, aşırı terleme şikayetleri genellikle göz polikliniğinde değerlendirilir."
"ishal, göğüs ağrısı",Üroloji,"ishal, göğüs ağrısı şikayetleri genellikle üroloji polikliniğinde değerlendirilir."
"ciltte kaşıntı, kulak çınlaması",Cildiye,"ciltte kaşıntı, kulak çınlaması şikayetleri genellikle cildiye polikliniğinde değerlendirilir."
idrar yanması,Cildiye,idrar yanması şikayetleri genellikle cildiye polikliniğinde değerlendirilir.
"göz kızarıklığı, idrar yanması, aşırı terleme",Fizik Tedavi,"göz kızarıklığı, idrar yanması, aşırı terleme şikayetleri genellikle fizik tedavi polikliniğinde değerlendirilir."
başta basınç hissi,Nöroloji,başta basınç hissi şikayetleri genellikle nöroloji polikliniğinde değerlendirilir.
"karın şişliği, göz kızarıklığı",KBB,"karın şişliği, göz kızarıklığı şikayetleri genellikle kbb polikliniğinde değerlendirilir."
"kas seğirmesi, ishal",Kadın Doğum,"kas seğirmesi, ishal şikayetleri genellikle kadın doğum polikliniğinde değerlendirilir."
"ellerde morarma, ellerde uyuşma",Fizik Tedavi,"ellerde morarma, ellerde uyuşma şikayetleri genellikle fizik tedavi polikliniğinde değerlendirilir."
"ayak şişmesi, burun tıkanıklığı, ishal",Dahiliye,"ayak şişmesi, burun tıkanıklığı, ishal şikayetleri genellikle dahiliye polikliniğinde değerlendirilir."
"kaygı hissi, boğazda yanma, nefes kesilmesi",Psikiyatri,"kaygı hissi, boğazda yanma, nefes kesilmesi şikayetleri genellikle psikiyatri polikliniğinde değerlendirilir."
kalp çarpıntısı,Göz,kalp çarpıntısı şikayetleri genellikle göz polikliniğinde değerlendirilir.
boğazda gıcık,Dahiliye,boğazda gıcık şikayetleri genellikle dahiliye polikliniğinde değerlendirilir.
"omuz ağrısı, kulakta ağrı, karın ağrısı",Göz,"omuz ağrısı, kulakta ağrı, karın ağrısı şikayetleri genellikle göz polikliniğinde değerlendirilir."
ateş,Cildiye,ateş şikayetleri genellikle cildiye polikliniğinde değerlendirilir.
kabızlık,Cildiye,kabızlık şikayetleri genellikle cildiye polikliniğinde değerlendirilir.
mide bulantısı,Enfeksiyon,mide bulantısı şikayetleri genellikle enfeksiyon polikliniğinde değerlendirilir.
"hıçkırık, karında sancı, ciltte döküntü",Cildiye,"hıçkırık, karında sancı, ciltte döküntü şikayetleri genellikle cildiye polikliniğinde değerlendirilir."
"mide yanması, kulak çınlaması, yorgunluk",Enfeksiyon,"mide yanması, kulak çınlaması, yorgunluk şikayetleri genellikle enfeksiyon polikliniğinde değerlendirilir."
burun tıkanıklığı,Dahiliye,burun tıkanıklığı şikayetleri genellikle dahiliye polikliniğinde değerlendirilir.
"uykusuzluk, bel ağrısı",KBB,"uykusuzluk, bel ağrısı şikayetleri genellikle kbb polikliniğinde değerlendirilir."
"ishal, karında sancı",Cildiye,"ishal, karında sancı şikayetleri genellikle cildiye polikliniğinde değerlendirilir."
"omuz ağrısı, boğazda gıcık, burun tıkanıklığı",Göğüs Hastalıkları,"omuz ağrısı, boğazda gıcık, burun tıkanıklığı şikayetleri genellikle göğüs hastalıkları polikliniğinde değerlendirilir."
"kaygı hissi, ciltte kaşıntı",Dahiliye,"kaygı hissi, ciltte kaşıntı şikayetleri genellikle dahiliye polikliniğinde değerlendirilir."
"üşüme, ense ağrısı, ellerde soğukluk",Endokrinoloji,"üşüme, ense ağrısı, ellerde soğukluk şikayetleri genellikle endokrinoloji polikliniğinde değerlendirilir."
ellerde uyuşma,Enfeksiyon,ellerde uyuşma şikayetleri genellikle enfeksiyon polikliniğinde değerlendirilir.
ayak şişmesi,Nöroloji,ayak şişmesi şikayetleri genellikle nöroloji polikliniğinde değerlendirilir.
"göz kızarıklığı, boğazda yanma",Dahiliye,"göz kızarıklığı, boğazda yanma şikayetleri genellikle dahiliye polikliniğinde değerlendirilir."
baş dönmesi,Enfeksiyon,baş dönmesi şikayetleri genellikle enfeksiyon polikliniğinde değerlendirilir.
nefes darlığı,Göğüs Hastalıkları,nefes darlığı şikayetleri genellikle göğüs hastalıkları polikliniğinde değerlendirilir.
"ayak şişmesi, konsantrasyon bozukluğu, nefes almada zorluk",Üroloji,"ayak şişmesi, konsantrasyon bozukluğu, nefes almada zorluk şikayetleri genellikle üroloji polikliniğinde değerlendirilir."
göz kızarıklığı,Endokrinoloji,göz kızarıklığı şikayetleri genellikle endokrinoloji polikliniğinde değerlendirilir.
"nefes kesilmesi, kulak çınlaması, el titremesi",Ortopedi,"nefes kesilmesi, kulak çınlaması, el titremesi şikayetleri genellikle ortopedi polikliniğinde değerlendirilir."
boğazda gıcık,Fizik Tedavi,boğazda gıcık şikayetleri genellikle fizik tedavi polikliniğinde değerlendirilir.
"idrar yanması, baş dönmesi, ense ağrısı",KBB,"idrar yanması, baş dönmesi, ense ağrısı şikayetleri genellikle kbb polikliniğinde değerlendirilir."
"ellerde morarma, karında sancı, hıçkırık",Cildiye,"ellerde morarma, karında sancı, hıçkırık şikayetleri genellikle cildiye polikliniğinde değerlendirilir."
"omuz ağrısı, nefes almada zorluk",Psikiyatri,"omuz ağrısı, nefes almada zorluk şikayetleri genellikle psikiyatri polikliniğinde değerlendirilir."
"ellerde morarma, ciltte kaşıntı, göz kuruluğu",Fizik Tedavi,"ellerde morarma, ciltte kaşıntı, göz kuruluğu şikayetleri genellikle fizik tedavi polikliniğinde değerlendirilir."
nefes almada zorluk,Genel Cerrahi,nefes almada zorluk şikayetleri genellikle genel cerrahi polikliniğinde değerlendirilir.
"ciltte kaşıntı, yüzde kızarma",Cildiye,"ciltte kaşıntı, yüzde kızarma şikayetleri genellikle cildiye polikliniğinde değerlendirilir."
kulakta ağrı,Dahiliye,kulakta ağrı şikayetleri genellikle dahiliye polikliniğinde değerlendirilir.
"yüzde kızarma, nefes kesilmesi, uykusuzluk",Kadın Doğum,"yüzde kızarma, nefes kesilmesi, uykusuzluk şikayetleri genellikle kadın doğum polikliniğinde değerlendirilir."
"karın ağrısı, bel ağrısı, nefes darlığı",Göz,"karın ağrısı, bel ağrısı, nefes darlığı şikayetleri genellikle göz polikliniğinde değerlendirilir."
"uykuya dalamama, uykusuzluk",Göz,"uykuya dalamama, uykusuzluk şikayetleri genellikle göz polikliniğinde değerlendirilir."
"kaygı hissi, karın şişliği, ellerde soğukluk",Göğüs Hastalıkları,"kaygı hissi, karın şişliği, ellerde soğukluk şikayetleri genellikle göğüs hastalıkları polikliniğinde değerlendirilir."
"ellerde morarma, göz kuruluğu, aşırı terleme",Genel Cerrahi,"ellerde morarma, göz kuruluğu, aşırı terleme şikayetleri genellikle genel cerrahi polikliniğinde değerlendirilir."
"ciltte döküntü, baş dönmesi, ishal",Enfeksiyon,"ciltte döküntü, baş dönmesi, ishal şikayetleri genellikle enfeksiyon polikliniğinde değerlendirilir."
"boğazda yanma, sırt ağrısı",Enfeksiyon,"boğazda yanma, sırt ağrısı şikayetleri genellikle enfeksiyon polikliniğinde değerlendirilir."
"ellerde uyuşma, ayak şişmesi",Göğüs Hastalıkları,"ellerde uyuşma, ayak şişmesi şikayetleri genellikle göğüs hastalıkları polikliniğinde değerlendirilir."
göz kızarıklığı,Ortopedi,göz kızarıklığı şikayetleri genellikle ortopedi polikliniğinde değerlendirilir.
"unutkanlık, hıçkırık",Üroloji,"unutkanlık, hıçkırık şikayetleri genellikle üroloji polikliniğinde değerlendirilir."
kulakta ağrı,Üroloji,kulakta ağrı şikayetleri genellikle üroloji polikliniğinde değerlendirilir.
göz kızarıklığı,Psikiyatri,göz kızarıklığı şikayetleri genellikle psikiyatri polikliniğinde değerlendirilir.
"uykusuzluk, unutkanlık",Göğüs Hastalıkları,"uykusuzluk, unutkanlık şikayetleri genellikle göğüs hastalıkları polikliniğinde değerlendirilir."
"kulakta ağrı, burun tıkanıklığı, kalp çarpıntısı",Kadın Doğum,"kulakta ağrı, burun tıkanıklığı, kalp çarpıntısı şikayetleri genellikle kadın doğum polikliniğinde değerlendirilir."
göğüs ağrısı,Kadın Doğum,göğüs ağrısı şikayetleri genellikle kadın doğum polikliniğinde değerlendirilir.
"ellerde morarma, boğazda gıcık, uykuya dalamama",Üroloji,"ellerde morarma, boğazda gıcık, uykuya dalamama şikayetleri genellikle üroloji polikliniğinde değerlendirilir."
burun tıkanıklığı,Psikiyatri,burun tıkanıklığı şikayetleri genellikle psikiyatri polikliniğinde değerlendirilir.
"nefes darlığı, burun tıkanıklığı",Üroloji,"nefes darlığı, burun tıkanıklığı şikayetleri genellikle üroloji polikliniğinde değerlendirilir."
"gözde sulanma, mide bulantısı, başta basınç hissi",Psikiyatri,"gözde sulanma, mide bulantısı, başta basınç hissi şikayetleri genellikle psikiyatri polikliniğinde değerlendirilir."
"iştahsızlık, göz kızarıklığı, eklem ağrısı",Göz,"iştahsızlık, göz kızarıklığı, eklem ağrısı şikayetleri genellikle göz polikliniğinde değerlendirilir."
"kabızlık, karın şişliği",Endokrinoloji,"kabızlık, karın şişliği şikayetleri genellikle endokrinoloji polikliniğinde değerlendirilir."
"ellerde morarma, burun tıkanıklığı",KBB,"ellerde morarma, burun tıkanıklığı şikayetleri genellikle kbb polikliniğinde değerlendirilir."
ciltte döküntü,Cildiye,ciltte döküntü şikayetleri genellikle cildiye polikliniğinde değerlendirilir.
"gözde sulanma, ishal",Endokrinoloji,"gözde sulanma, ishal şikayetleri genellikle endokrinoloji polikliniğinde değerlendirilir."
"uykusuzluk, yüzde kızarma, ateş",Fizik Tedavi,"uykusuzluk, yüzde kızarma, ateş şikayetleri genellikle fizik tedavi polikliniğinde değerlendirilir."
ellerde soğukluk,Fizik Tedavi,ellerde soğukluk şikayetleri genellikle fizik tedavi polikliniğinde değerlendirilir.
"karın şişliği, yüzde kızarma",Kadın Doğum,"karın şişliği, yüzde kızarma şikayetleri genellikle kadın doğum polikliniğinde değerlendirilir."
kaygı hissi,Ortopedi,kaygı hissi şikayetleri genellikle ortopedi polikliniğinde değerlendirilir.
aşırı terleme,Genel Cerrahi,aşırı terleme şikayetleri genellikle genel cerrahi polikliniğinde değerlendirilir.
"üşüme, bel ağrısı",Dahiliye,"üşüme, bel ağrısı şikayetleri genellikle dahiliye polikliniğinde değerlendirilir."
"ishal, üşüme",Endokrinoloji,"ishal, üşüme şikayetleri genellikle endokrinoloji polikliniğinde değerlendirilir."
"üşüme, eklem ağrısı, nefes darlığı",Dahiliye,"üşüme, eklem ağrısı, nefes darlığı şikayetleri genellikle dahiliye polikliniğinde değerlendirilir."
"göz kuruluğu, yüzde kızarma, gözde sulanma",Fizik Tedavi,"göz kuruluğu, yüzde kızarma, gözde sulanma şikayetleri genellikle fizik tedavi polikliniğinde değerlendirilir."
mide yanması,KBB,mide yanması şikayetleri genellikle kbb polikliniğinde değerlendirilir.
"sırt ağrısı, nefes darlığı",Genel Cerrahi,"sırt ağrısı, nefes darlığı şikayetleri genellikle genel cerrahi polikliniğinde değerlendirilir."
"ciltte kaşıntı, nefes almada zorluk, konsantrasyon bozukluğu",Göğüs Hastalıkları,"ciltte kaşıntı, nefes almada zorluk, konsantrasyon bozukluğu şikayetleri genellikle göğüs hastalıkları polikliniğinde değerlendirilir."
"nefes almada zorluk, ellerde uyuşma",Fizik Tedavi,"nefes almada zorluk, ellerde uyuşma şikayetleri genellikle fizik tedavi polikliniğinde değerlendirilir."
uykuya dalamama,Dahiliye,uykuya dalamama şikayetleri genellikle dahiliye polikliniğinde değerlendirilir.
"eklem ağrısı, üşüme, gözde sulanma",Dahiliye,"eklem ağrısı, üşüme, gözde sulanma şikayetleri genellikle dahiliye polikliniğinde değerlendirilir."
"kalp çarpıntısı, kabızlık, göz kuruluğu",Kadın Doğum,"kalp çarpıntısı, kabızlık, göz kuruluğu şikayetleri genellikle kadın doğum polikliniğinde değerlendirilir."
yorgunluk,Göğüs Hastalıkları,yorgunluk şikayetleri genellikle göğüs hastalıkları polikliniğinde değerlendirilir.
nefes darlığı,Kadın Doğum,nefes darlığı şikayetleri genellikle kadın doğum polikliniğinde değerlendirilir.
"halsizlik, nefes almada zorluk, göz kızarıklığı",Göğüs Hastalıkları,"halsizlik, nefes almada zorluk, göz kızarıklığı şikayetleri genellikle göğüs hastalıkları polikliniğinde değerlendirilir."
"ciltte döküntü, ellerde morarma",Enfeksiyon,"ciltte döküntü, ellerde morarma şikayetleri genellikle enfeksiyon polikliniğinde değerlendirilir."
